Longitude,Latitude
-2.141245,53.734825
-2.119924,53.72587
-2.11618,53.726116
-2.141245,53.734825
,
,
,
,
,
,
,
,
,
,
,
-2.083577,53.716521
-2.096052,53.715028
-2.130783,53.730177
-2.11618,53.726116
-2.09629,53.719312
,
,
,
,
-2.042278,53.736626
-2.052351,53.728588
-2.042438,53.735577
,
,
,
,
,
,
,
,
-2.024203,53.742668
,
,
,
,
,
,
,
,
-2.014228,53.741641
-2.012759,53.742672
,
,
,
,
,
,
,
,
,
-1.982877,53.731188
-1.982877,53.731188
-1.982052,53.730618
,
,
,
,
-1.961465,53.730844
-1.938101,53.71303
,
,
,
,
,
,
,
-1.914744,53.707069
-1.914744,53.707069
-1.912684,53.707976
-1.909402,53.707938
-1.911774,53.708442
-1.912481,53.706897
-1.910452,53.707302
-1.916256,53.710759
,
,
,
,
-1.872819,53.698349
-1.872819,53.698349
,
,
,
,
,
,
,
-1.841824,53.686732
-1.841898,53.686445
-1.832548,53.689458
,
,
,
,
,
,
,
,
,
,
-1.743585,53.693886
-1.782937,53.699571
-1.794621,53.705069
-1.784535,53.700099
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.629367,53.689215
-1.629367,53.689215
,
,
,
,
,
,
,
-1.550861,53.654926
-1.586164,53.671035
-1.550861,53.654926
-1.540118,53.656365
,
,
,
,
,
,
,
,
,
,
,
-1.50655,53.682592
,
,
-1.483156,53.672779
-1.521573,53.67101
-1.543809,53.654671
,
,
,
,
,
,
,
,
-1.472664,53.711263
-1.400807,53.740852
-1.372584,53.726157
,
,
,
,
,
,
,
-1.777976,53.837445
,
,
-1.706109,53.723479
,
,
,
-1.636221,53.690989
,
,
,
-1.635115,53.716196
-1.628718,53.714197
,
,
-1.648739,53.726153
-1.628718,53.714197
-1.628409,53.714485
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.509153,53.680601
-1.516531,53.690231
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.930004,53.600066
-1.929637,53.600566
-1.785556,53.640733
-1.930004,53.600066
,
,
,
,
-1.822544,53.661848
-1.772435,53.643252
-1.782253,53.639263
-1.762831,53.659753
-1.760163,53.661073
-1.760163,53.661073
-1.772382,53.648223
-1.773645,53.649506
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.810576,53.575478
-1.787341,53.572939
-1.798236,53.565797
-1.777098,53.585468
,
,
,
,
-1.791401,53.635943
,
,
,
,
,
,
,
-1.728856,53.638167
-1.728585,53.638887
-1.730168,53.63866
-1.737048,53.650096
-1.735362,53.64765
-1.730168,53.63866
,
-1.650734,53.529484
-1.633239,53.529731
-1.653675,53.526321
-1.629215,53.529956
-1.631136,53.529007
-1.537833,53.436374
-1.50994,53.419456
-1.478062,53.39343
-1.542726,53.317535
-1.53717,53.435928
-1.537622,53.437249
-1.494981,53.410411
-1.500572,53.410737
,
,
,
,
,
-1.495282,53.405086
-1.506474,53.400963
-1.513606,53.399098
-1.469974,53.38156
-1.47037,53.39009
-1.469958,53.388542
-1.471305,53.389535
-1.458998,53.388926
-1.465729,53.387697
-1.464878,53.387731
-1.464208,53.387839
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.282688,53.490383
-1.223957,53.486982
-1.280459,53.493216
-1.191344,53.507507
-1.189414,53.511455
,
,
,
,
,
,
-1.143442,53.534732
-1.150244,53.557989
,
,
,
,
,
,
-1.108499,53.661999
-1.100262,53.591709
-1.062067,53.595444
,
,
,
,
-1.477227,53.466762
,
-1.460257,53.443498
-1.466562,53.442463
,
,
,
,
,
-1.431451,53.412164
,
,
,
-1.515482,53.327669
-1.485231,53.352048
-1.513467,53.333346
,
,
,
,
,
-1.48478,53.354901
-1.472375,53.364355
-1.477555,53.359586
-1.47537,53.359872
-1.468226,53.364537
-1.477555,53.359586
-1.483803,53.349607
-1.487521,53.350819
,
,
,
,
,
,
,
-1.464992,53.370475
-1.465339,53.372195
-1.45933,53.384979
-1.455282,53.388459
-1.464986,53.375744
-1.466017,53.375562
-1.465652,53.375011
-1.46329,53.375203
-1.463054,53.376271
-1.461999,53.385401
-1.462297,53.384338
-1.460324,53.384163
-1.459658,53.386256
-1.462443,53.373794
-1.466598,53.367739
-1.466144,53.371705
-1.465859,53.372255
-1.465945,53.371426
,
,
,
,
,
,
,
,
-1.494612,53.36854
-1.495538,53.368495
-1.498539,53.367921
-1.463554,53.377971
-1.45933,53.384979
-1.466495,53.394691
,
,
-1.462121,53.382832
-1.466495,53.394691
,
,
,
,
-1.526775,53.588007
-1.533817,53.569642
-1.529468,53.586272
,
,
,
,
,
,
,
,
,
-1.438704,53.561155
,
,
,
,
,
,
,
,
,
,
-1.338242,53.5037
,
,
,
,
-1.312187,53.512964
-1.312576,53.515356
-1.319478,53.515644
-1.32539,53.513222
-1.304809,53.51734
,
,
,
-1.276586,53.515481
-1.276586,53.515481
,
,
,
,
,
,
-1.264422,53.649892
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.422037,53.23773
,
,
,
,
-1.416239,53.2493
,
,
,
,
,
-1.323954,53.296863
-1.351383,53.266263
,
,
,
,
,
-1.436256,53.267698
-1.330752,53.321867
-1.337951,53.348587
,
,
,
,
,
,
,
,
-1.364784,53.390441
,
-1.332109,53.404211
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-1.445328,53.239273
,
,
,
,
,
,
-1.422606,53.235207
,
,
,
,
,
,
,
,
-1.518526,54.144281
-1.518526,54.144281
,
,
,
,
,
,
,
-1.980087,53.730069
